FID,,longitude,latitude,Drought,area_km2,area_ha
,,46.8621788,10.85425186,severe,36.47425,3647.42491
,,46.8705101,10.8584652,severe,36.47425,3647.42491
,,46.87098328,10.85905302,severe,36.47425,3647.42491
,,46.88039017,10.87073898,severe,36.47425,3647.42491
,,46.88105256,10.87115883,severe,36.47425,3647.42491
,,46.88848496,10.87586975,severe,36.47425,3647.42491
,,46.88876445,10.87626156,severe,36.47425,3647.42491
,,46.897892,10.88905716,severe,36.47425,3647.42491
,,46.9011216,10.89213886,severe,36.47425,3647.42491
,,46.92132568,10.89547634,severe,36.47425,3647.42491
,,46.92641067,10.89874077,severe,36.47425,3647.42491
,,46.92658018,10.89905114,severe,36.47425,3647.42491
,,46.93372726,10.91213799,severe,36.47425,3647.42491
,,46.93447299,10.91249314,severe,36.47425,3647.42491
,,46.93766403,10.91401291,severe,36.47425,3647.42491
,,46.95582199,10.91279602,severe,36.47425,3647.42491
,,46.96255112,10.91469574,severe,36.47425,3647.42491
,,46.96349301,10.91553065,severe,36.47425,3647.42491
,,46.97224045,10.92328453,severe,36.47425,3647.42491
,,46.97230857,10.92330263,severe,36.47425,3647.42491
,,46.98477554,10.92661476,severe,36.47425,3647.42491
,,46.99287033,10.93174362,severe,36.47425,3647.42491
,,46.99335574,10.93225248,severe,36.47425,3647.42491
,,46.99839783,10.93753815,severe,36.47425,3647.42491
,,47.00258637,10.94437504,severe,36.47425,3647.42491
,,47.00802612,10.95325184,severe,36.47425,3647.42491
,,47.01194,10.957654,severe,36.47425,3647.42491
,,47.01248403,10.95796413,severe,36.47425,3647.42491
,,47.01726151,10.96068764,severe,36.47425,3647.42491
,,47.0307579,10.96057606,severe,36.47425,3647.42491
,,47.05027771,10.96350288,severe,36.47425,3647.42491
,,47.0627594,10.97280407,severe,36.47425,3647.42491
,,47.08297729,10.97573376,severe,36.47425,3647.42491
,,47.09965897,10.98369026,severe,36.47425,3647.42491
,,47.10021359,10.98431475,severe,36.47425,3647.42491
,,47.10749435,10.9925127,severe,36.47425,3647.42491
,,47.10878754,10.99794102,severe,36.47425,3647.42491
,,47.11265182,11.01414013,severe,36.47425,3647.42491
,,47.11862946,11.02246475,severe,36.47425,3647.42491
,,47.11959094,11.0232227,severe,36.47425,3647.42491
,,47.14220428,11.041049,severe,36.47425,3647.42491
,,47.14222843,11.04110898,severe,36.47425,3647.42491
,,47.14471054,11.04727554,severe,36.47425,3647.42491
,,47.14600754,11.05877972,severe,36.47425,3647.42491
,,47.15039826,11.06249332,severe,36.47425,3647.42491
,,47.15045623,11.06251373,severe,36.47425,3647.42491
,,47.19404983,11.07785606,severe,36.47425,3647.42491
,,47.21792984,11.08625698,severe,36.47425,3647.42491
,,47.2387886,11.09699726,severe,36.47425,3647.42491
,,47.23944266,11.09764499,severe,36.47425,3647.42491
,,47.25633621,11.11437511,severe,36.47425,3647.42491
,,47.25656281,11.1144217,severe,36.47425,3647.42491
,,47.27609253,11.11843681,severe,36.47425,3647.42491
,,47.29417038,11.12823105,severe,36.47425,3647.42491
,,47.30724335,11.13146687,severe,36.47425,3647.42491
,,47.30950546,11.13202667,severe,36.47425,3647.42491
,,47.33407974,11.14508629,severe,36.47425,3647.42491
,,47.35520554,11.15306091,severe,36.47425,3647.42491
